date,account_id,service,region,environment,cost_usd,usage_type,pricing_model,project,owner,currency
2026-01-01,1860,Amazon RDS,eu-central-1,Production,79.07,Compute,Spot,Analytics,DevOps,USD
2026-01-01,1458,AWS Lambda,us-east-1,Production,6.96,Storage,Reserved,Analytics,DataTeam,USD
2026-01-01,1276,Amazon RDS,us-east-1,QA,54.85,Compute,On-Demand,WebApp,DevOps,USD
2026-01-01,1475,Amazon S3,eu-central-1,QA,13.61,Storage,Spot,WebApp,Miguel,USD
2026-01-01,1484,AWS Lambda,eu-central-1,Production,21.2,Network,Reserved,FinOps,DataTeam,USD
2026-01-01,1776,Amazon S3,us-west-2,Dev,26.93,Network,Spot,FinOps,DevOps,USD
2026-01-01,1205,AWS Lambda,us-east-1,QA,67.94,Storage,Reserved,Analytics,DataTeam,USD
2026-01-01,1771,Amazon S3,us-west-2,Dev,97.11,Storage,Reserved,Analytics,DataTeam,USD
2026-01-01,1269,Amazon RDS,eu-central-1,Production,13.41,Network,On-Demand,Analytics,Miguel,USD
2026-01-01,1337,CloudFront,eu-central-1,Dev,60.74,Compute,On-Demand,FinOps,Miguel,USD
2026-01-01,1064,CloudFront,us-east-1,Production,45.22,Compute,Spot,WebApp,DevOps,USD
2026-01-01,1391,Amazon EC2,eu-central-1,Production,78.27,Compute,Reserved,WebApp,DataTeam,USD
2026-01-01,1027,Amazon EC2,eu-central-1,Dev,64.21,Storage,On-Demand,WebApp,DevOps,USD
2026-01-01,1098,CloudFront,us-west-2,Production,58.32,Network,On-Demand,WebApp,DataTeam,USD
2026-01-01,1768,AWS Lambda,us-east-1,QA,27.42,Storage,Spot,WebApp,Miguel,USD
2026-01-01,1553,Amazon S3,us-east-1,Production,7.99,Network,On-Demand,FinOps,DataTeam,USD
2026-01-01,1406,CloudFront,eu-central-1,Dev,56.28,Compute,On-Demand,WebApp,DevOps,USD
2026-01-01,1085,AWS Lambda,us-west-2,QA,81.77,Compute,On-Demand,Analytics,DataTeam,USD
2026-01-01,1639,AWS Lambda,us-west-2,Production,90.13,Network,Reserved,FinOps,Miguel,USD
2026-01-01,1282,Amazon EC2,us-west-2,Dev,82.71,Compute,Spot,WebApp,DataTeam,USD
2026-01-02,1648,AWS Lambda,us-west-2,Dev,70.78,Storage,Spot,WebApp,DataTeam,USD
2026-01-02,1691,Amazon EC2,us-east-1,QA,97.32,Storage,Spot,Analytics,DevOps,USD
2026-01-02,1612,Amazon EC2,us-east-1,Dev,30.34,Storage,Reserved,Analytics,DevOps,USD
2026-01-02,1735,CloudFront,us-east-1,Dev,27.76,Storage,On-Demand,Analytics,DataTeam,USD
2026-01-02,1438,Amazon RDS,eu-central-1,Production,28.01,Storage,On-Demand,Analytics,DataTeam,USD
2026-01-02,1510,AWS Lambda,us-east-1,Dev,35.47,Storage,On-Demand,WebApp,DevOps,USD
2026-01-02,1402,Amazon RDS,us-west-2,Production,81.9,Network,On-Demand,FinOps,DevOps,USD
2026-01-02,1871,Amazon S3,us-east-1,Production,37.4,Compute,Reserved,WebApp,DevOps,USD
2026-01-02,1610,Amazon S3,eu-central-1,QA,98.31,Compute,Reserved,FinOps,DataTeam,USD
2026-01-02,1452,Amazon RDS,us-east-1,Production,22.93,Compute,Spot,WebApp,DevOps,USD
2026-01-02,1151,Amazon RDS,us-west-2,Dev,65.99,Network,On-Demand,Analytics,DataTeam,USD
2026-01-02,1111,AWS Lambda,us-west-2,Dev,68.03,Compute,Reserved,Analytics,DataTeam,USD
2026-01-02,1821,Amazon S3,eu-central-1,Dev,26.31,Compute,On-Demand,Analytics,Miguel,USD
2026-01-02,1503,Amazon RDS,eu-central-1,Production,67.47,Compute,Spot,WebApp,DataTeam,USD
2026-01-02,1562,CloudFront,us-west-2,Production,46.27,Compute,Reserved,FinOps,DevOps,USD
2026-01-02,1452,Amazon EC2,us-east-1,Production,59.34,Compute,On-Demand,Analytics,Miguel,USD
2026-01-02,1517,CloudFront,eu-central-1,Dev,95.54,Compute,On-Demand,Analytics,Miguel,USD
2026-01-02,1699,AWS Lambda,us-east-1,Production,34.04,Network,On-Demand,WebApp,DataTeam,USD
2026-01-02,1734,Amazon EC2,us-west-2,QA,93.35,Storage,Reserved,WebApp,DataTeam,USD
2026-01-02,1638,Amazon S3,eu-central-1,QA,88.35,Compute,On-Demand,FinOps,DevOps,USD
2026-01-03,1681,CloudFront,eu-central-1,QA,81.96,Compute,On-Demand,Analytics,DevOps,USD
2026-01-03,1035,Amazon EC2,us-east-1,Dev,11.74,Storage,Reserved,WebApp,DevOps,USD
2026-01-03,1353,Amazon RDS,us-west-2,Production,68.84,Network,On-Demand,Analytics,DevOps,USD
2026-01-03,1149,CloudFront,us-west-2,QA,7.9,Storage,Reserved,WebApp,DataTeam,USD
2026-01-03,1443,AWS Lambda,us-east-1,Dev,83.65,Compute,Spot,Analytics,Miguel,USD
2026-01-03,1349,Amazon RDS,eu-central-1,Production,65.56,Compute,Reserved,Analytics,DataTeam,USD
2026-01-03,1656,AWS Lambda,eu-central-1,Production,46.7,Network,Reserved,FinOps,DataTeam,USD
2026-01-03,1829,CloudFront,eu-central-1,Production,71.12,Compute,On-Demand,Analytics,DataTeam,USD
2026-01-03,1750,Amazon EC2,us-west-2,QA,13.92,Compute,On-Demand,FinOps,Miguel,USD
2026-01-03,1998,CloudFront,eu-central-1,Dev,63.11,Network,Spot,Analytics,DevOps,USD
2026-01-03,1085,CloudFront,us-east-1,Dev,16.03,Compute,Spot,FinOps,DataTeam,USD
2026-01-03,1452,Amazon RDS,us-west-2,QA,51.7,Network,On-Demand,Analytics,DataTeam,USD
2026-01-03,1022,CloudFront,us-west-2,QA,95.17,Storage,Spot,Analytics,DataTeam,USD
2026-01-03,1441,AWS Lambda,us-east-1,Dev,69.98,Network,Reserved,FinOps,DevOps,USD
2026-01-03,1663,Amazon RDS,us-west-2,Production,66.11,Compute,On-Demand,WebApp,DevOps,USD
2026-01-03,1267,CloudFront,eu-central-1,Dev,96.31,Storage,Spot,FinOps,Miguel,USD
2026-01-03,1606,Amazon RDS,us-west-2,QA,8.7,Storage,Spot,WebApp,Miguel,USD
2026-01-03,1775,Amazon S3,us-east-1,QA,69.75,Storage,Reserved,WebApp,Miguel,USD
2026-01-03,1825,Amazon RDS,us-east-1,QA,64.75,Compute,On-Demand,FinOps,Miguel,USD
2026-01-03,1675,Amazon EC2,us-west-2,Dev,76.31,Network,On-Demand,WebApp,DataTeam,USD
2026-01-04,1998,Amazon EC2,eu-central-1,QA,58.38,Compute,Spot,FinOps,DevOps,USD
2026-01-04,1866,Amazon EC2,us-east-1,QA,90.74,Storage,On-Demand,Analytics,Miguel,USD
2026-01-04,1018,AWS Lambda,us-east-1,Dev,91.01,Compute,Spot,Analytics,DevOps,USD
2026-01-04,1850,Amazon RDS,us-west-2,Production,12.91,Compute,Spot,FinOps,DevOps,USD
2026-01-04,1483,CloudFront,us-east-1,Production,79.22,Network,On-Demand,FinOps,DataTeam,USD
2026-01-04,1934,Amazon S3,us-west-2,Production,10.31,Network,Spot,FinOps,DevOps,USD
2026-01-04,1657,AWS Lambda,eu-central-1,Dev,77.34,Compute,On-Demand,Analytics,DevOps,USD
2026-01-04,1167,CloudFront,us-west-2,Dev,83.08,Storage,Reserved,FinOps,Miguel,USD
2026-01-04,1421,CloudFront,eu-central-1,Dev,40.21,Compute,Spot,WebApp,Miguel,USD
2026-01-04,1131,CloudFront,us-west-2,Production,50.76,Storage,Spot,WebApp,DataTeam,USD
2026-01-04,1530,Amazon S3,eu-central-1,QA,51.8,Compute,Reserved,Analytics,DataTeam,USD
2026-01-04,1475,Amazon RDS,us-east-1,Production,66.67,Compute,Spot,FinOps,DataTeam,USD
2026-01-04,1190,Amazon EC2,us-east-1,Dev,87.52,Storage,On-Demand,Analytics,DataTeam,USD
2026-01-04,1684,Amazon RDS,us-east-1,Dev,35.66,Storage,On-Demand,WebApp,Miguel,USD
2026-01-04,1226,Amazon RDS,eu-central-1,Dev,54.69,Compute,On-Demand,Analytics,DevOps,USD
2026-01-04,1372,Amazon EC2,us-west-2,QA,41.5,Network,On-Demand,WebApp,DataTeam,USD
2026-01-04,1407,Amazon RDS,us-east-1,QA,22.87,Storage,Reserved,Analytics,Miguel,USD
2026-01-04,1739,Amazon EC2,eu-central-1,QA,8.07,Compute,On-Demand,FinOps,Miguel,USD
2026-01-04,1751,Amazon RDS,us-east-1,Dev,91.54,Compute,Reserved,Analytics,DevOps,USD
2026-01-04,1814,CloudFront,us-east-1,QA,12.86,Storage,Reserved,WebApp,Miguel,USD
2026-01-05,1118,CloudFront,us-east-1,QA,82.0,Network,On-Demand,WebApp,Miguel,USD
2026-01-05,1062,Amazon S3,us-east-1,QA,83.77,Compute,On-Demand,FinOps,DataTeam,USD
2026-01-05,1098,Amazon EC2,eu-central-1,Dev,6.3,Network,Reserved,FinOps,Miguel,USD
2026-01-05,1869,CloudFront,eu-central-1,Dev,60.59,Compute,On-Demand,Analytics,DataTeam,USD
2026-01-05,1144,AWS Lambda,us-east-1,QA,24.48,Compute,Spot,FinOps,Miguel,USD
2026-01-05,1445,Amazon RDS,us-east-1,Dev,76.91,Storage,Spot,WebApp,DataTeam,USD
2026-01-05,1673,Amazon S3,us-west-2,QA,83.98,Storage,On-Demand,Analytics,Miguel,USD
2026-01-05,1824,AWS Lambda,us-east-1,Production,7.73,Network,On-Demand,FinOps,DataTeam,USD
2026-01-05,1074,Amazon S3,eu-central-1,Production,17.96,Storage,Reserved,Analytics,DataTeam,USD
2026-01-05,1797,Amazon S3,eu-central-1,Production,13.65,Storage,On-Demand,Analytics,Miguel,USD
2026-01-05,1541,Amazon RDS,eu-central-1,QA,86.92,Compute,On-Demand,Analytics,Miguel,USD
2026-01-05,1784,Amazon S3,us-east-1,QA,63.98,Storage,On-Demand,Analytics,DevOps,USD
2026-01-05,1751,AWS Lambda,eu-central-1,Production,56.04,Network,Spot,WebApp,DevOps,USD
2026-01-05,1359,Amazon RDS,us-east-1,Production,88.06,Network,On-Demand,Analytics,Miguel,USD
2026-01-05,1050,Amazon S3,eu-central-1,Dev,21.05,Storage,On-Demand,Analytics,Miguel,USD
2026-01-05,1644,Amazon EC2,us-east-1,QA,89.95,Compute,Reserved,Analytics,Miguel,USD
2026-01-05,1072,AWS Lambda,us-west-2,Dev,50.71,Storage,Spot,Analytics,DevOps,USD
